poi_id,city_id,name,category_id,poi_category,lat,lng,typical_duration_minutes,entry_cost,currency,carbon_kg,popularity_score,value_score,opens_at,closes_at,closed_days,best_season,accessibility,tags,description,has_xr_scene,status,updated_at
poi_87f14af2,cty_5d572c8a,Backwater Channel,cat_dbd7c6e8,nature,24.541795,73.736306,45,0.00,INR,2.822,44,76,,21:00,0,winter,step_free,"ticketed,sunset,unesco,outdoor","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_c9ad2e61,cty_5d572c8a,Coffee Roastery Tour,cat_34ac5ade,food,24.596522,73.647953,75,1200.00,INR,1.353,86,53,10:00,21:00,0,winter,partial,"photogenic,indoor,ticketed,crowded","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_455fd66d,cty_5d572c8a,Riverside Ghats,cat_7e99ea32,religious,24.514416,73.78819,240,50.00,INR,2.283,75,72,08:00,19:00,1,winter,none,"unesco,photogenic,outdoor,guided_tour","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the step-well geometry on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_3514f780,cty_5d572c8a,"Jazz Cellar, Udaipur",cat_3ecd28b3,nightlife,24.652316,73.661778,45,750.00,INR,3.155,98,38,10:00,18:00,0,,step_free,"guided_tour,quiet,crowded,unesco","Restored in the 1990s with mixed results — the riverside steps is authentic, the carved lintel is not.",1,active,2026-08-18T10:00:00+05:30
poi_690e8c3f,cty_5d572c8a,"Gallery of Modern Art, Udaipur",cat_a74a90c1,museum,24.647937,73.728966,180,0.00,INR,0.247,73,70,06:00,18:00,,winter,none,"indoor,family_friendly,unesco,ticketed","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the brass door on the north courtyard is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_a6e080dd,cty_076e8e86,Night Food Bazaar,cat_b591c643,food,26.295788,73.001872,75,0.00,INR,3.019,64,91,06:00,17:00,,winter,partial,"local_favourite,photogenic,quiet,crowded","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the mirror work on the riverside steps is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_7b4e4d8d,cty_076e8e86,Jodhpur Bird Sanctuary,cat_200acca0,wildlife,26.295805,73.024272,90,2500.00,INR,2.534,41,64,08:00,18:00,,winter,partial,"local_favourite,crowded,indoor,sunrise","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the inscription on the north courtyard is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_d607a9e8,cty_076e8e86,Yoga Shala,cat_7073a53a,wellness,26.212037,72.991707,180,0.00,INR,0.402,32,31,10:00,21:00,6,winter,step_free,"unesco,quiet,family_friendly,local_favourite","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the brass door on the inner sanctum approach is easy to miss from the main path.",1,active,2026-08-18T10:00:00+05:30
poi_3383cc81,cty_076e8e86,"Jazz Cellar, Jodhpur",cat_3ecd28b3,nightlife,26.256224,73.014484,120,0.00,INR,1.518,67,86,08:00,,0,winter,step_free,"sunset,quiet,crowded,local_favourite","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_84c56970,cty_076e8e86,Spice Market Walk,cat_34ac5ade,food,26.284825,73.06158,120,1200.00,INR,2.23,77,74,10:00,,6,winter,step_free,"family_friendly,sunrise,unesco,indoor","Restored in the 1990s with mixed results — the riverside steps is authentic, the carved lintel is not.",0,active,2026-08-18T10:00:00+05:30
poi_f5507243,cty_076e8e86,Riverside Lounge,cat_ae5149e1,nightlife,26.266452,73.014518,240,0.00,INR,0.191,61,63,08:00,18:00,,,partial,"local_favourite,unesco,indoor,sunset","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the carved lintel on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_8c370a2f,cty_076e8e86,Rock Garden,cat_87a6232b,nature,26.233893,73.083368,180,2500.00,INR,1.194,51,74,,18:00,,winter,step_free,"guided_tour,outdoor,quiet,indoor","Restored in the 1990s with mixed results — the rear terrace is authentic, the carved lintel is not.",0,active,2026-08-18T10:00:00+05:30
poi_423f2b73,cty_076e8e86,Hot Springs,cat_829c3404,wellness,26.276129,73.032538,45,0.00,INR,3.346,63,60,10:00,17:00,,winter,none,"local_favourite,guided_tour,quiet,sunset",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_529792ec,cty_076e8e86,Yoga Shala,cat_829c3404,wellness,26.25662,73.009709,180,50.00,INR,1.02,53,57,06:00,18:00,,,step_free,"photogenic,outdoor,indoor,quiet","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_4ae9c459,cty_076e8e86,Handloom Cooperative,cat_8c7f3fd2,shopping,26.18117,73.066473,90,500.00,INR,0.46,53,76,08:00,18:00,1,winter,none,"sunset,outdoor,crowded,family_friendly","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_da092f1e,cty_076e8e86,Yoga Shala,cat_829c3404,wellness,26.219046,73.059284,75,0.00,INR,2.565,61,36,10:00,17:00,,winter,step_free,"quiet,photogenic,crowded,outdoor","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_efb828ad,cty_076e8e86,Jodhpur Viewpoint,cat_b591c643,viewpoint,26.224408,72.964276,120,0.00,INR,1.977,13,94,06:00,17:00,,winter,step_free,"outdoor,family_friendly,photogenic,sunrise","Restored in the 1990s with mixed results — the upper gallery is authentic, the carved lintel is not.",0,active,2026-08-18T10:00:00+05:30
poi_04f0ba08,cty_076e8e86,Rock Garden,cat_dbd7c6e8,nature,26.182226,73.101302,120,100.00,INR,1.148,86,86,10:00,21:00,,,step_free,"unesco,guided_tour,quiet,photogenic","Restored in the 1990s with mixed results — the upper gallery is authentic, the lattice screen is not.",0,active,2026-08-18T10:00:00+05:30
poi_e4abebbd,cty_076e8e86,"Jazz Cellar, Jodhpur",cat_3ecd28b3,nightlife,26.199163,73.013688,90,350.00,INR,0.48,55,54,09:00,17:00,0,winter,partial,"quiet,indoor,ticketed,family_friendly","The lattice screen is the reason most people come, but the riverside steps behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_ea18f6ef,cty_076e8e86,Hot Springs,cat_7073a53a,wellness,26.180271,73.100449,90,0.00,INR,3.319,55,63,06:00,19:00,6,winter,partial,"guided_tour,sunrise,unesco,crowded","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the fresco panel on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_4ea03993,cty_10cbee86,Jaisalmer Bird Sanctuary,cat_200acca0,wildlife,26.97397,70.858529,90,200.00,INR,0.125,53,87,06:00,18:00,,,partial,"guided_tour,sunset,crowded,ticketed","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the brass door on the upper gallery is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_5f6b0929,cty_10cbee86,Jaisalmer Temple,cat_7e99ea32,religious,26.973145,70.924839,240,0.00,INR,1.568,41,54,06:00,21:00,,winter,partial,"sunrise,family_friendly,guided_tour,sunset","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_55aa9e6a,cty_10cbee86,Rock Climbing Wall,cat_5c6b9b9e,adventure,26.868901,70.891918,180,200.00,INR,1.709,32,69,09:00,21:00,,winter,partial,"local_favourite,guided_tour,quiet,sunrise","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_51183123,cty_10cbee86,Jaisalmer City Museum,cat_a6c4c438,museum,26.853739,70.841544,75,750.00,INR,2.715,98,74,08:00,19:00,,,none,"crowded,sunrise,family_friendly,quiet","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the fresco panel on the colonnade is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_a81484fe,cty_10cbee86,Fishermen's Cove,cat_857ee77a,beach,26.868385,70.930545,240,0.00,INR,1.068,54,60,10:00,18:00,,winter,step_free,"guided_tour,local_favourite,sunset,outdoor","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the inscription on the colonnade is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_047adfc6,cty_10cbee86,Kayaking at Jaisalmer,cat_51e6a700,adventure,26.912203,70.852472,150,500.00,INR,0.24,71,56,06:00,,1,winter,partial,"local_favourite,outdoor,photogenic,sunset",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_fb32afcd,cty_10cbee86,Puppet Museum,cat_a74a90c1,museum,26.854747,70.960574,45,500.00,INR,2.892,50,42,,19:00,1,winter,step_free,"quiet,indoor,local_favourite,crowded","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_40f22ba7,cty_10cbee86,"Gallery of Modern Art, Jaisalmer",cat_a6c4c438,museum,26.929471,70.898601,75,500.00,INR,3.128,35,49,06:00,17:00,,winter,step_free,"outdoor,sunset,quiet,unesco","The carved lintel is the reason most people come, but the inner sanctum approach behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_6e34d5eb,cty_10cbee86,Chhatri Complex,cat_54243992,heritage,26.863724,70.94136,150,0.00,INR,0.797,72,26,08:00,21:00,,,none,"ticketed,unesco,photogenic,local_favourite","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the tile mosaic on the riverside steps is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_51f80251,cty_10cbee86,Ayurveda Centre,cat_7073a53a,wellness,26.96439,70.920905,75,0.00,INR,3.383,23,34,06:00,,,winter,step_free,"sunrise,guided_tour,indoor,ticketed","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the step-well geometry on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_e29c4169,cty_10cbee86,Jain Temple Complex,cat_63e0475b,religious,26.964514,70.846772,180,50.00,INR,1.699,88,42,08:00,21:00,,winter,partial,"crowded,outdoor,unesco,local_favourite","Restored in the 1990s with mixed results — the riverside steps is authentic, the fresco panel is not.",0,active,2026-08-18T10:00:00+05:30
poi_d80fc6c2,cty_10cbee86,Jaisalmer Observatory,cat_c03ee00a,heritage,26.918668,70.978663,150,500.00,INR,2.022,46,45,06:00,19:00,6,winter,step_free,"sunset,guided_tour,family_friendly,quiet",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_4f63e9d4,cty_10cbee86,Yoga Shala,cat_7073a53a,wellness,26.950533,70.934232,90,50.00,INR,2.569,72,39,06:00,19:00,1,winter,none,"quiet,sunrise,local_favourite,outdoor","Restored in the 1990s with mixed results — the inner sanctum approach is authentic, the fresco panel is not.",0,active,2026-08-18T10:00:00+05:30
poi_a24ebe04,cty_10cbee86,Butterfly Reserve,cat_6b229a53,wildlife,26.89585,70.876692,120,1200.00,INR,1.681,85,32,09:00,18:00,,winter,partial,"ticketed,guided_tour,crowded,unesco","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_82b1e711,cty_10cbee86,Jaisalmer Temple,cat_7e99ea32,religious,26.879498,70.84694,120,0.00,INR,0.555,42,46,09:00,,,winter,none,"unesco,guided_tour,local_favourite,sunrise","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_99eeb49d,cty_b43cdd57,Riverside Lounge,cat_ae5149e1,nightlife,27.22313,78.044121,150,1200.00,INR,0.226,68,41,09:00,17:00,,winter,partial,"quiet,photogenic,guided_tour,crowded","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the tile mosaic on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_2918d9a5,cty_b43cdd57,Cooking Class at Old Town,cat_260a51dc,food,27.181188,77.979459,60,0.00,INR,1.9,83,67,08:00,,1,,none,"unesco,family_friendly,indoor,guided_tour","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_a9e46e7f,cty_b43cdd57,Night Food Bazaar,cat_260a51dc,food,27.163022,77.962302,240,100.00,INR,3.438,41,59,06:00,18:00,0,,partial,"indoor,photogenic,quiet,outdoor","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_1153b6f1,cty_b43cdd57,Ayurveda Centre,cat_7073a53a,wellness,27.203579,77.93717,180,50.00,INR,1.832,12,42,10:00,18:00,,winter,partial,"sunset,ticketed,family_friendly,photogenic",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_e698d1f2,cty_b43cdd57,North Beach,cat_db94a794,beach,27.240428,77.997874,240,1200.00,INR,0.329,45,66,08:00,19:00,0,,partial,"quiet,indoor,ticketed,guided_tour","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the inscription on the upper gallery is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_cc30bc8d,cty_b43cdd57,Quiet Bay,cat_db94a794,beach,27.108694,77.98781,150,500.00,INR,3.072,40,74,,19:00,,winter,none,"outdoor,guided_tour,crowded,sunrise","The lattice screen is the reason most people come, but the upper gallery behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_d94e1880,cty_b43cdd57,Backwater Channel,cat_87a6232b,nature,27.166932,77.928882,180,0.00,INR,1.372,55,47,09:00,19:00,,winter,partial,"guided_tour,ticketed,sunset,indoor","The inscription is the reason most people come, but the north courtyard behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_4733b6f0,cty_b43cdd57,Yoga Shala,cat_829c3404,wellness,27.244335,78.034063,240,750.00,INR,1.248,29,66,09:00,21:00,0,winter,partial,"indoor,ticketed,family_friendly,crowded","Restored in the 1990s with mixed results — the rear terrace is authentic, the mirror work is not.",0,active,2026-08-18T10:00:00+05:30
poi_de929193,cty_b43cdd57,Rock Garden,cat_fda74089,nature,27.110504,78.07753,120,0.00,INR,3.228,69,76,06:00,,,winter,step_free,"indoor,ticketed,sunset,family_friendly",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_ecc44f4e,cty_b43cdd57,Quiet Bay,cat_db94a794,beach,27.153801,78.014577,120,0.00,INR,0.442,63,53,10:00,18:00,,winter,partial,"outdoor,crowded,ticketed,indoor","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the inscription on the riverside steps is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_23e1e6ef,cty_b43cdd57,Riverside Ghats,cat_63e0475b,religious,27.2092,77.983281,60,2500.00,INR,3.208,40,75,09:00,21:00,0,winter,step_free,"indoor,sunset,sunrise,ticketed","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_25a10096,cty_b43cdd57,Agra Street Food Lane,cat_b591c643,food,27.224375,77.96603,180,50.00,INR,3.017,39,64,09:00,,0,winter,step_free,"outdoor,sunset,unesco,ticketed","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the tile mosaic on the riverside steps is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_6779b6e6,cty_b43cdd57,Coffee Roastery Tour,cat_a01f3db5,food,27.112135,78.063774,60,350.00,INR,0.559,39,58,09:00,19:00,,winter,none,"crowded,quiet,indoor,family_friendly","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_fb163a6d,cty_b43cdd57,Fishermen's Cove,cat_857ee77a,beach,27.15184,78.004372,180,0.00,INR,2.367,43,50,09:00,17:00,1,winter,partial,"quiet,sunset,outdoor,sunrise","The inscription is the reason most people come, but the inner sanctum approach behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_d537f687,cty_b43cdd57,Lighthouse Beach,cat_db94a794,beach,27.14331,78.075157,150,750.00,INR,3.149,79,61,06:00,21:00,,,step_free,"indoor,guided_tour,crowded,photogenic","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_1f6b3fea,cty_c97e6cd5,Varanasi Viewpoint,cat_5c6b9b9e,viewpoint,25.318393,82.993942,240,100.00,INR,2.138,61,59,06:00,18:00,,winter,partial,"guided_tour,unesco,indoor,sunset","The lattice screen is the reason most people come, but the upper gallery behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_4b6fd669,cty_c97e6cd5,Fishermen's Cove,cat_857ee77a,beach,25.355459,82.902186,45,500.00,INR,0.162,48,43,06:00,,6,winter,partial,"crowded,photogenic,sunrise,indoor","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_6cf96802,cty_c97e6cd5,Riverside Lounge,cat_ae5149e1,nightlife,25.352012,83.010001,60,100.00,INR,0.977,93,87,06:00,21:00,1,winter,partial,"photogenic,local_favourite,sunrise,guided_tour","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the tile mosaic on the riverside steps is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_ac798552,cty_c97e6cd5,Quiet Bay,cat_db94a794,beach,25.312466,82.959071,60,50.00,INR,2.398,10,67,08:00,19:00,,winter,step_free,"sunset,quiet,photogenic,ticketed","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_b342c8f0,cty_c97e6cd5,Varanasi Street Food Lane,cat_a01f3db5,food,25.319864,82.952768,45,100.00,INR,0.833,91,71,10:00,19:00,,winter,none,"outdoor,sunrise,ticketed,local_favourite",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_ce379b2f,cty_c97e6cd5,Varanasi Viewpoint,cat_68482803,viewpoint,25.353297,82.899114,60,50.00,INR,3.064,39,34,08:00,18:00,0,winter,none,"unesco,quiet,local_favourite,crowded","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_3c0c89be,cty_c97e6cd5,Sunset Point,cat_87a6232b,nature,25.314343,82.955214,240,0.00,INR,2.846,41,79,08:00,19:00,6,winter,none,"crowded,outdoor,guided_tour,indoor","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the carved lintel on the riverside steps is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_3f6b3047,cty_c97e6cd5,Coffee Roastery Tour,cat_260a51dc,food,25.367416,82.896872,75,2500.00,INR,2.759,82,91,06:00,21:00,,,step_free,"guided_tour,indoor,unesco,sunrise","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
