fact_id,poi_id,fact_type,fact_text,language,confidence,display_priority,embedding_ref,updated_at
fct_d9cb3087,poi_690e8c3f,etiquette,"Footwear is removed before entering the inner area of Gallery of Modern Art, Udaipur; socks are advisable in summer.",en-IN,high,5,emb_fact_690e8c3f,2026-08-18T10:00:00+05:30
fct_323d5673,poi_a6e080dd,history,Night Food Bazaar was substantially rebuilt in the 18th century; the earlier structure survives only in the foundations.,en-IN,high,3,emb_fact_a6e080dd,2026-08-18T10:00:00+05:30
fct_26567110,poi_7b4e4d8d,etiquette,Footwear is removed before entering the inner area of Jodhpur Bird Sanctuary; socks are advisable in summer.,en-IN,high,5,emb_fact_7b4e4d8d,2026-08-18T10:00:00+05:30
fct_b1fe1a94,poi_d607a9e8,history,Yoga Shala was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,medium,2,emb_fact_d607a9e8,2026-08-18T10:00:00+05:30
fct_86a08dc6,poi_3383cc81,architecture,"The fresco panel at Jazz Cellar, Jodhpur is the detail most guides point out, and the only part not restored.",en-IN,high,4,emb_fact_3383cc81,2026-08-18T10:00:00+05:30
fct_c21f6b87,poi_84c56970,history,Spice Market Walk was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,high,2,emb_fact_84c56970,2026-08-18T10:00:00+05:30
fct_372d5fd8,poi_f5507243,history,Riverside Lounge was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,high,2,emb_fact_f5507243,2026-08-18T10:00:00+05:30
fct_b1a9c12e,poi_8c370a2f,practical,Allow 180 minutes at Rock Garden. It is busiest between 10:00 and 13:00.,en-IN,medium,5,emb_fact_8c370a2f,2026-08-18T10:00:00+05:30
fct_750bfc69,poi_423f2b73,architecture,"The inscription at Hot Springs is the detail most guides point out, and the only part not restored.",en-IN,low,4,emb_fact_423f2b73,2026-08-18T10:00:00+05:30
fct_4b7ec1f4,poi_529792ec,history,Yoga Shala was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,high,4,emb_fact_529792ec,2026-08-18T10:00:00+05:30
fct_00f03d8f,poi_4ae9c459,etiquette,Footwear is removed before entering the inner area of Handloom Cooperative; socks are advisable in summer.,en-IN,medium,5,emb_fact_4ae9c459,2026-08-18T10:00:00+05:30
fct_160e8215,poi_da092f1e,history,Yoga Shala was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,medium,1,emb_fact_da092f1e,2026-08-18T10:00:00+05:30
fct_6f6bc08a,poi_efb828ad,history,Jodhpur Viewpoint was substantially rebuilt in the 18th century; the earlier structure survives only in the foundations.,en-IN,high,1,emb_fact_efb828ad,2026-08-18T10:00:00+05:30
fct_d17d4d8c,poi_04f0ba08,trivia,"Rock Garden appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,3,emb_fact_04f0ba08,2026-08-18T10:00:00+05:30
fct_a5cd75dd,poi_e4abebbd,etiquette,"Footwear is removed before entering the inner area of Jazz Cellar, Jodhpur; socks are advisable in summer.",en-IN,high,3,emb_fact_e4abebbd,2026-08-18T10:00:00+05:30
fct_8e7e877c,poi_ea18f6ef,etiquette,Footwear is removed before entering the inner area of Hot Springs; socks are advisable in summer.,en-IN,medium,1,emb_fact_ea18f6ef,2026-08-18T10:00:00+05:30
fct_47043d3c,poi_4ea03993,trivia,"Jaisalmer Bird Sanctuary appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,2,emb_fact_4ea03993,2026-08-18T10:00:00+05:30
fct_858188d7,poi_5f6b0929,practical,Allow 240 minutes at Jaisalmer Temple. It is busiest between 10:00 and 13:00.,en-IN,high,3,emb_fact_5f6b0929,2026-08-18T10:00:00+05:30
fct_598d16b5,poi_55aa9e6a,trivia,"Rock Climbing Wall appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,2,emb_fact_55aa9e6a,2026-08-18T10:00:00+05:30
fct_3e082df9,poi_51183123,practical,Allow 75 minutes at Jaisalmer City Museum. It is busiest between 10:00 and 13:00.,en-IN,medium,3,emb_fact_51183123,2026-08-18T10:00:00+05:30
fct_9343009e,poi_a81484fe,trivia,"Fishermen's Cove appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,2,emb_fact_a81484fe,2026-08-18T10:00:00+05:30
fct_2555d3ab,poi_047adfc6,practical,Allow 150 minutes at Kayaking at Jaisalmer. It is busiest between 10:00 and 13:00.,en-IN,high,4,emb_fact_047adfc6,2026-08-18T10:00:00+05:30
fct_17b62d81,poi_fb32afcd,history,Puppet Museum was substantially rebuilt in the 18th century; the earlier structure survives only in the foundations.,en-IN,high,1,emb_fact_fb32afcd,2026-08-18T10:00:00+05:30
fct_eca0ceec,poi_40f22ba7,architecture,"The step-well geometry at Gallery of Modern Art, Jaisalmer is the detail most guides point out, and the only part not restored.",en-IN,low,2,emb_fact_40f22ba7,2026-08-18T10:00:00+05:30
fct_732cad66,poi_6e34d5eb,trivia,"Chhatri Complex appears on the city's earliest surviving tourist map, misspelled.",en-IN,low,1,emb_fact_6e34d5eb,2026-08-18T10:00:00+05:30
fct_23210dd2,poi_51f80251,architecture,"The inscription at Ayurveda Centre is the detail most guides point out, and the only part not restored.",en-IN,high,4,emb_fact_51f80251,2026-08-18T10:00:00+05:30
fct_39173702,poi_e29c4169,etiquette,Footwear is removed before entering the inner area of Jain Temple Complex; socks are advisable in summer.,en-IN,high,3,emb_fact_e29c4169,2026-08-18T10:00:00+05:30
fct_15139805,poi_d80fc6c2,practical,Allow 150 minutes at Jaisalmer Observatory. It is busiest between 10:00 and 13:00.,en-IN,high,5,emb_fact_d80fc6c2,2026-08-18T10:00:00+05:30
fct_43c2b33a,poi_4f63e9d4,practical,Allow 90 minutes at Yoga Shala. It is busiest between 10:00 and 13:00.,en-IN,high,1,emb_fact_4f63e9d4,2026-08-18T10:00:00+05:30
fct_f86449c4,poi_a24ebe04,practical,Allow 120 minutes at Butterfly Reserve. It is busiest between 10:00 and 13:00.,en-IN,high,4,emb_fact_a24ebe04,2026-08-18T10:00:00+05:30
fct_0de3ba5c,poi_82b1e711,trivia,"Jaisalmer Temple appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,3,emb_fact_82b1e711,2026-08-18T10:00:00+05:30
fct_792f67ec,poi_99eeb49d,practical,Allow 150 minutes at Riverside Lounge. It is busiest between 10:00 and 13:00.,en-IN,low,4,emb_fact_99eeb49d,2026-08-18T10:00:00+05:30
fct_a0d34e00,poi_2918d9a5,history,Cooking Class at Old Town was substantially rebuilt in the 19th century; the earlier structure survives only in the foundations.,en-IN,medium,4,emb_fact_2918d9a5,2026-08-18T10:00:00+05:30
fct_01a638b4,poi_a9e46e7f,trivia,"Night Food Bazaar appears on the city's earliest surviving tourist map, misspelled.",en-IN,low,1,emb_fact_a9e46e7f,2026-08-18T10:00:00+05:30
fct_817d340f,poi_1153b6f1,architecture,"The carved lintel at Ayurveda Centre is the detail most guides point out, and the only part not restored.",en-IN,medium,4,emb_fact_1153b6f1,2026-08-18T10:00:00+05:30
fct_33e363f0,poi_e698d1f2,trivia,"North Beach appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,4,emb_fact_e698d1f2,2026-08-18T10:00:00+05:30
fct_d719eb73,poi_cc30bc8d,architecture,"The fresco panel at Quiet Bay is the detail most guides point out, and the only part not restored.",en-IN,high,1,emb_fact_cc30bc8d,2026-08-18T10:00:00+05:30
fct_c02fa408,poi_d94e1880,trivia,"Backwater Channel appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,3,emb_fact_d94e1880,2026-08-18T10:00:00+05:30
fct_7f4232b4,poi_4733b6f0,history,Yoga Shala was substantially rebuilt in the 19th century; the earlier structure survives only in the foundations.,en-IN,medium,1,emb_fact_4733b6f0,2026-08-18T10:00:00+05:30
fct_9608cc45,poi_de929193,trivia,"Rock Garden appears on the city's earliest surviving tourist map, misspelled.",en-IN,low,5,emb_fact_de929193,2026-08-18T10:00:00+05:30
fct_56876b0e,poi_ecc44f4e,trivia,"Quiet Bay appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,3,emb_fact_ecc44f4e,2026-08-18T10:00:00+05:30
fct_10e64c6b,poi_23e1e6ef,history,Riverside Ghats was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,medium,4,emb_fact_23e1e6ef,2026-08-18T10:00:00+05:30
fct_753bb33f,poi_25a10096,etiquette,Footwear is removed before entering the inner area of Agra Street Food Lane; socks are advisable in summer.,en-IN,medium,5,emb_fact_25a10096,2026-08-18T10:00:00+05:30
fct_971d5aad,poi_6779b6e6,practical,Allow 60 minutes at Coffee Roastery Tour. It is busiest between 10:00 and 13:00.,en-IN,high,2,emb_fact_6779b6e6,2026-08-18T10:00:00+05:30
fct_57a01f77,poi_fb163a6d,history,Fishermen's Cove was substantially rebuilt in the 18th century; the earlier structure survives only in the foundations.,en-IN,low,3,emb_fact_fb163a6d,2026-08-18T10:00:00+05:30
fct_8a6c5edc,poi_d537f687,practical,Allow 150 minutes at Lighthouse Beach. It is busiest between 10:00 and 13:00.,en-IN,high,2,emb_fact_d537f687,2026-08-18T10:00:00+05:30
fct_b4364d7e,poi_1f6b3fea,trivia,"Varanasi Viewpoint appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,1,emb_fact_1f6b3fea,2026-08-18T10:00:00+05:30
fct_8f0cf31e,poi_4b6fd669,etiquette,Footwear is removed before entering the inner area of Fishermen's Cove; socks are advisable in summer.,en-IN,high,4,emb_fact_4b6fd669,2026-08-18T10:00:00+05:30
fct_30df8210,poi_6cf96802,etiquette,Footwear is removed before entering the inner area of Riverside Lounge; socks are advisable in summer.,en-IN,high,5,emb_fact_6cf96802,2026-08-18T10:00:00+05:30
fct_ac0bedec,poi_ac798552,history,Quiet Bay was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,high,4,emb_fact_ac798552,2026-08-18T10:00:00+05:30
fct_467fda5e,poi_b342c8f0,etiquette,Footwear is removed before entering the inner area of Varanasi Street Food Lane; socks are advisable in summer.,en-IN,medium,1,emb_fact_b342c8f0,2026-08-18T10:00:00+05:30
fct_bddb00bb,poi_ce379b2f,history,Varanasi Viewpoint was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,high,2,emb_fact_ce379b2f,2026-08-18T10:00:00+05:30
fct_5f8ae8fd,poi_3c0c89be,history,Sunset Point was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,medium,2,emb_fact_3c0c89be,2026-08-18T10:00:00+05:30
fct_61531cae,poi_3f6b3047,architecture,"The mirror work at Coffee Roastery Tour is the detail most guides point out, and the only part not restored.",en-IN,high,2,emb_fact_3f6b3047,2026-08-18T10:00:00+05:30
fct_93b14516,poi_5d60f7d3,practical,Allow 180 minutes at Varanasi Street Food Lane. It is busiest between 10:00 and 13:00.,en-IN,high,3,emb_fact_5d60f7d3,2026-08-18T10:00:00+05:30
fct_507c84f7,poi_14133aa5,history,Rock Garden was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,high,1,emb_fact_14133aa5,2026-08-18T10:00:00+05:30
fct_804b51d6,poi_892c58e8,architecture,"The tile mosaic at Handloom Cooperative is the detail most guides point out, and the only part not restored.",en-IN,medium,5,emb_fact_892c58e8,2026-08-18T10:00:00+05:30
fct_976f42d4,poi_6714a2b7,history,North Beach was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,high,2,emb_fact_6714a2b7,2026-08-18T10:00:00+05:30
fct_463945b1,poi_0fd767d1,etiquette,Footwear is removed before entering the inner area of Varanasi Street Food Lane; socks are advisable in summer.,en-IN,high,5,emb_fact_0fd767d1,2026-08-18T10:00:00+05:30
fct_20707715,poi_ff07508e,practical,Allow 150 minutes at Handloom Cooperative. It is busiest between 10:00 and 13:00.,en-IN,low,4,emb_fact_ff07508e,2026-08-18T10:00:00+05:30
fct_2cae7d62,poi_9a818832,architecture,"The inscription at Ridge Lookout is the detail most guides point out, and the only part not restored.",en-IN,high,5,emb_fact_9a818832,2026-08-18T10:00:00+05:30
fct_03d0ae69,poi_45ad255e,architecture,"The fresco panel at Riverside Ghats is the detail most guides point out, and the only part not restored.",en-IN,high,3,emb_fact_45ad255e,2026-08-18T10:00:00+05:30
fct_ec101e68,poi_19ef3aca,etiquette,Footwear is removed before entering the inner area of Great Mosque of Lucknow; socks are advisable in summer.,en-IN,medium,3,emb_fact_19ef3aca,2026-08-18T10:00:00+05:30
fct_03cc9dff,poi_654970ad,trivia,"Hot Springs appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,5,emb_fact_654970ad,2026-08-18T10:00:00+05:30
fct_a9904000,poi_cfe191ae,etiquette,Footwear is removed before entering the inner area of Royal Cenotaphs; socks are advisable in summer.,en-IN,medium,4,emb_fact_cfe191ae,2026-08-18T10:00:00+05:30
fct_0fb3e552,poi_1b1c636a,trivia,"Lucknow Stepwell appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,1,emb_fact_1b1c636a,2026-08-18T10:00:00+05:30
fct_8b5e3b83,poi_6d2179fc,etiquette,Footwear is removed before entering the inner area of Lucknow Bird Sanctuary; socks are advisable in summer.,en-IN,high,1,emb_fact_6d2179fc,2026-08-18T10:00:00+05:30
fct_99b06fb7,poi_3657db09,architecture,"The fresco panel at Lucknow Stepwell is the detail most guides point out, and the only part not restored.",en-IN,high,2,emb_fact_3657db09,2026-08-18T10:00:00+05:30
fct_f299b170,poi_617e6210,etiquette,Footwear is removed before entering the inner area of Butterfly Reserve; socks are advisable in summer.,en-IN,high,1,emb_fact_617e6210,2026-08-18T10:00:00+05:30
fct_689443f5,poi_537e1423,architecture,"The step-well geometry at Hot Springs is the detail most guides point out, and the only part not restored.",en-IN,medium,1,emb_fact_537e1423,2026-08-18T10:00:00+05:30
fct_5166eede,poi_4014708e,architecture,"The brass door at Yoga Shala is the detail most guides point out, and the only part not restored.",en-IN,high,5,emb_fact_4014708e,2026-08-18T10:00:00+05:30
fct_e4ddd68b,poi_11e2b165,etiquette,Footwear is removed before entering the inner area of Hot Springs; socks are advisable in summer.,en-IN,medium,3,emb_fact_11e2b165,2026-08-18T10:00:00+05:30
fct_122bbfb9,poi_65449925,history,Rock Climbing Wall was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,medium,2,emb_fact_65449925,2026-08-18T10:00:00+05:30
fct_a3fc2b17,poi_13219d0d,architecture,"The carved lintel at North Beach is the detail most guides point out, and the only part not restored.",en-IN,high,1,emb_fact_13219d0d,2026-08-18T10:00:00+05:30
fct_97bd05b2,poi_29010ad1,trivia,"Great Mosque of Lucknow appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,5,emb_fact_29010ad1,2026-08-18T10:00:00+05:30
fct_0bb206ae,poi_60c9ded0,etiquette,Footwear is removed before entering the inner area of Lucknow Bird Sanctuary; socks are advisable in summer.,en-IN,medium,3,emb_fact_60c9ded0,2026-08-18T10:00:00+05:30
fct_47693870,poi_6dce5a76,practical,Allow 240 minutes at Ayurveda Centre. It is busiest between 10:00 and 13:00.,en-IN,high,1,emb_fact_6dce5a76,2026-08-18T10:00:00+05:30
fct_5569cd57,poi_356fc49a,etiquette,Footwear is removed before entering the inner area of Jain Temple Complex; socks are advisable in summer.,en-IN,high,1,emb_fact_356fc49a,2026-08-18T10:00:00+05:30
fct_bdaa847a,poi_d3737db1,architecture,"The lattice screen at Yoga Shala is the detail most guides point out, and the only part not restored.",en-IN,low,5,emb_fact_d3737db1,2026-08-18T10:00:00+05:30
fct_83da702e,poi_453bdf21,architecture,"The inscription at Yoga Shala is the detail most guides point out, and the only part not restored.",en-IN,high,1,emb_fact_453bdf21,2026-08-18T10:00:00+05:30
fct_5418eeed,poi_0f2aad38,trivia,"Elephant Camp appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,1,emb_fact_0f2aad38,2026-08-18T10:00:00+05:30
fct_6879be6e,poi_04a93c99,trivia,"Butterfly Reserve appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,2,emb_fact_04a93c99,2026-08-18T10:00:00+05:30
fct_ad6401b5,poi_854510d3,architecture,"The lattice screen at Rock Garden is the detail most guides point out, and the only part not restored.",en-IN,high,3,emb_fact_854510d3,2026-08-18T10:00:00+05:30
fct_ab6cc66a,poi_b678840e,history,Night Food Bazaar was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,high,1,emb_fact_b678840e,2026-08-18T10:00:00+05:30
fct_732e7456,poi_59a49b81,architecture,"The fresco panel at New Delhi Temple is the detail most guides point out, and the only part not restored.",en-IN,low,4,emb_fact_59a49b81,2026-08-18T10:00:00+05:30
fct_4d1c1d51,poi_69af3525,architecture,"The fresco panel at Great Mosque of New Delhi is the detail most guides point out, and the only part not restored.",en-IN,medium,1,emb_fact_69af3525,2026-08-18T10:00:00+05:30
fct_4178316a,poi_ec504151,history,Jain Temple Complex was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,medium,5,emb_fact_ec504151,2026-08-18T10:00:00+05:30
fct_0cb3a57c,poi_ee3f6b58,practical,Allow 45 minutes at Botanical Gardens. It is busiest between 10:00 and 13:00.,en-IN,medium,5,emb_fact_ee3f6b58,2026-08-18T10:00:00+05:30
fct_dd2f0fa7,poi_a8ca10a8,architecture,"The carved lintel at Rock Climbing Wall is the detail most guides point out, and the only part not restored.",en-IN,medium,2,emb_fact_a8ca10a8,2026-08-18T10:00:00+05:30
fct_6dfeaafa,poi_0e9efeae,etiquette,Footwear is removed before entering the inner area of Riverside Lounge; socks are advisable in summer.,en-IN,medium,1,emb_fact_0e9efeae,2026-08-18T10:00:00+05:30
fct_c2045f6f,poi_428db857,etiquette,Footwear is removed before entering the inner area of Ayurveda Centre; socks are advisable in summer.,en-IN,high,5,emb_fact_428db857,2026-08-18T10:00:00+05:30
fct_4a51a4d8,poi_66c3e7d9,architecture,"The lattice screen at Riverside Lounge is the detail most guides point out, and the only part not restored.",en-IN,high,2,emb_fact_66c3e7d9,2026-08-18T10:00:00+05:30
fct_9df8cb7d,poi_c8a30b2b,architecture,"The carved lintel at Riverside Ghats is the detail most guides point out, and the only part not restored.",en-IN,high,2,emb_fact_c8a30b2b,2026-08-18T10:00:00+05:30
fct_f79ef98e,poi_814c5981,practical,Allow 180 minutes at Kayaking at Amritsar. It is busiest between 10:00 and 13:00.,en-IN,high,5,emb_fact_814c5981,2026-08-18T10:00:00+05:30
fct_7325681d,poi_da4f49cf,trivia,"Hot Springs appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,3,emb_fact_da4f49cf,2026-08-18T10:00:00+05:30
fct_aedc54ff,poi_f069d484,practical,Allow 150 minutes at Rooftop Live Music. It is busiest between 10:00 and 13:00.,en-IN,high,5,emb_fact_f069d484,2026-08-18T10:00:00+05:30
fct_54146ea1,poi_a2b2ebb4,etiquette,"Footwear is removed before entering the inner area of Jazz Cellar, Amritsar; socks are advisable in summer.",en-IN,high,3,emb_fact_a2b2ebb4,2026-08-18T10:00:00+05:30
fct_93d6b7dc,poi_2b68f8e3,history,Kayaking at Amritsar was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,high,3,emb_fact_2b68f8e3,2026-08-18T10:00:00+05:30
fct_3b6eb151,poi_e6da4930,etiquette,Footwear is removed before entering the inner area of Hot Air Balloon Field; socks are advisable in summer.,en-IN,medium,5,emb_fact_e6da4930,2026-08-18T10:00:00+05:30
fct_d8dd4e92,poi_16a57a9d,etiquette,Footwear is removed before entering the inner area of Blue Pottery Workshop; socks are advisable in summer.,en-IN,high,2,emb_fact_16a57a9d,2026-08-18T10:00:00+05:30
fct_e85dc17c,poi_65054389,etiquette,Footwear is removed before entering the inner area of Lighthouse Beach; socks are advisable in summer.,en-IN,low,1,emb_fact_65054389,2026-08-18T10:00:00+05:30
fct_ce8e723d,poi_4a4c1328,history,Yoga Shala was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,high,5,emb_fact_4a4c1328,2026-08-18T10:00:00+05:30
fct_c587038d,poi_757a53e0,etiquette,Footwear is removed before entering the inner area of Riverside Lounge; socks are advisable in summer.,en-IN,medium,2,emb_fact_757a53e0,2026-08-18T10:00:00+05:30
fct_75b251a3,poi_baa25090,practical,Allow 150 minutes at Water Palace. It is busiest between 10:00 and 13:00.,en-IN,high,4,emb_fact_baa25090,2026-08-18T10:00:00+05:30
fct_0ef6b4af,poi_89d38def,trivia,"Cycling Loop appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,3,emb_fact_89d38def,2026-08-18T10:00:00+05:30
fct_d669e57a,poi_bfc63913,architecture,"The mirror work at Handloom Cooperative is the detail most guides point out, and the only part not restored.",en-IN,high,5,emb_fact_bfc63913,2026-08-18T10:00:00+05:30
fct_6424750a,poi_7213a07d,etiquette,Footwear is removed before entering the inner area of Quiet Bay; socks are advisable in summer.,en-IN,medium,3,emb_fact_7213a07d,2026-08-18T10:00:00+05:30
fct_0796cf04,poi_09155f8c,trivia,"Quiet Bay appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,5,emb_fact_09155f8c,2026-08-18T10:00:00+05:30
fct_6d885351,poi_35d011e8,history,Botanical Gardens was substantially rebuilt in the 18th century; the earlier structure survives only in the foundations.,en-IN,medium,2,emb_fact_35d011e8,2026-08-18T10:00:00+05:30
fct_85197618,poi_eccc86ce,etiquette,Footwear is removed before entering the inner area of Maritime Museum; socks are advisable in summer.,en-IN,high,2,emb_fact_eccc86ce,2026-08-18T10:00:00+05:30
fct_ac5adb04,poi_05550f9c,history,Night Food Bazaar was substantially rebuilt in the 16th century; the earlier structure survives only in the foundations.,en-IN,high,3,emb_fact_05550f9c,2026-08-18T10:00:00+05:30
fct_36191a50,poi_e337e6d3,architecture,"The fresco panel at Textile Museum is the detail most guides point out, and the only part not restored.",en-IN,high,4,emb_fact_e337e6d3,2026-08-18T10:00:00+05:30
fct_37b02c39,poi_6431c980,practical,Allow 120 minutes at Cooking Class at Old Town. It is busiest between 10:00 and 13:00.,en-IN,high,3,emb_fact_6431c980,2026-08-18T10:00:00+05:30
