chunk_id,city_id,poi_id,section,title,body,language,token_estimate,source_label,embedding_ref,seasonal_relevance,updated_at
kbc_8feb9870,cty_5d572c8a,,etiquette,Udaipur — Etiquette,"A few things save awkwardness in Udaipur. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Udaipur / etiquette,emb_place_8feb9870,,2026-08-18T10:00:00+05:30
kbc_0801afbd,cty_5d572c8a,,food,Udaipur — Food,"The local kitchen in Udaipur is built around wheat and dairy, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,98,KV Place Guide / Udaipur / food,emb_place_0801afbd,,2026-08-18T10:00:00+05:30
kbc_a5aad098,cty_5d572c8a,,transport,Udaipur — Transport,"Getting around Udaipur is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Udaipur / transport,emb_place_a5aad098,,2026-08-18T10:00:00+05:30
kbc_0137a1ce,cty_5d572c8a,,safety,Udaipur — Safety,"Udaipur is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Udaipur / safety,emb_place_0137a1ce,,2026-08-18T10:00:00+05:30
kbc_3ff87d75,cty_5d572c8a,,seasonal,Udaipur — Seasonal,"Season matters more in Udaipur than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Udaipur / seasonal,emb_place_3ff87d75,winter,2026-08-18T10:00:00+05:30
kbc_7081802e,cty_5d572c8a,,practical,Udaipur — Practical,"Practical notes for Udaipur: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Udaipur / practical,emb_place_7081802e,,2026-08-18T10:00:00+05:30
kbc_5f52017f,cty_076e8e86,,history,Jodhpur — History,"Jodhpur grew up around a fortified hill, and the shape of the old town still follows it. The Rajput period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,101,KV Place Guide / Jodhpur / history,emb_place_5f52017f,,2026-08-18T10:00:00+05:30
kbc_9c3f88ec,cty_076e8e86,,culture,Jodhpur — Culture,"Daily rhythm in Jodhpur is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a royal hunting reserve fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,84,KV Place Guide / Jodhpur / culture,emb_place_9c3f88ec,,2026-08-18T10:00:00+05:30
kbc_84e11c8a,cty_076e8e86,,etiquette,Jodhpur — Etiquette,"A few things save awkwardness in Jodhpur. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Jodhpur / etiquette,emb_place_84e11c8a,,2026-08-18T10:00:00+05:30
kbc_242f7d8d,cty_076e8e86,,food,Jodhpur — Food,"The local kitchen in Jodhpur is built around millet and chilli, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,98,KV Place Guide / Jodhpur / food,emb_place_242f7d8d,,2026-08-18T10:00:00+05:30
kbc_59bdc00d,cty_076e8e86,,transport,Jodhpur — Transport,"Getting around Jodhpur is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Jodhpur / transport,emb_place_59bdc00d,,2026-08-18T10:00:00+05:30
kbc_4e8f7702,cty_076e8e86,,safety,Jodhpur — Safety,"Jodhpur is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Jodhpur / safety,emb_place_4e8f7702,,2026-08-18T10:00:00+05:30
kbc_543323e6,cty_076e8e86,,seasonal,Jodhpur — Seasonal,"Season matters more in Jodhpur than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Jodhpur / seasonal,emb_place_543323e6,winter,2026-08-18T10:00:00+05:30
kbc_7ae89b05,cty_076e8e86,,practical,Jodhpur — Practical,"Practical notes for Jodhpur: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Jodhpur / practical,emb_place_7ae89b05,,2026-08-18T10:00:00+05:30
kbc_40956d4b,cty_10cbee86,,history,Jaisalmer — History,"Jaisalmer grew up around a rail junction, and the shape of the old town still follows it. The Mughal period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,101,KV Place Guide / Jaisalmer / history,emb_place_40956d4b,,2026-08-18T10:00:00+05:30
kbc_eb1c236a,cty_10cbee86,,culture,Jaisalmer — Culture,"Daily rhythm in Jaisalmer is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a royal hunting reserve fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,84,KV Place Guide / Jaisalmer / culture,emb_place_eb1c236a,,2026-08-18T10:00:00+05:30
kbc_26a7fd86,cty_10cbee86,,etiquette,Jaisalmer — Etiquette,"A few things save awkwardness in Jaisalmer. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Jaisalmer / etiquette,emb_place_26a7fd86,,2026-08-18T10:00:00+05:30
kbc_fac58168,cty_10cbee86,,food,Jaisalmer — Food,"The local kitchen in Jaisalmer is built around rice and coconut, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,98,KV Place Guide / Jaisalmer / food,emb_place_fac58168,,2026-08-18T10:00:00+05:30
kbc_1724711e,cty_10cbee86,,transport,Jaisalmer — Transport,"Getting around Jaisalmer is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Jaisalmer / transport,emb_place_1724711e,,2026-08-18T10:00:00+05:30
kbc_d7834bd7,cty_10cbee86,,safety,Jaisalmer — Safety,"Jaisalmer is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Jaisalmer / safety,emb_place_d7834bd7,,2026-08-18T10:00:00+05:30
kbc_88496397,cty_10cbee86,,seasonal,Jaisalmer — Seasonal,"Season matters more in Jaisalmer than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Jaisalmer / seasonal,emb_place_88496397,winter,2026-08-18T10:00:00+05:30
kbc_a05e47f9,cty_10cbee86,,practical,Jaisalmer — Practical,"Practical notes for Jaisalmer: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Jaisalmer / practical,emb_place_a05e47f9,,2026-08-18T10:00:00+05:30
kbc_310a0205,cty_b43cdd57,,history,Agra — History,"Agra grew up around a fortified hill, and the shape of the old town still follows it. The Chola period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,101,KV Place Guide / Agra / history,emb_place_310a0205,,2026-08-18T10:00:00+05:30
kbc_20d185fa,cty_b43cdd57,,culture,Agra — Culture,"Daily rhythm in Agra is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a rail junction fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,83,KV Place Guide / Agra / culture,emb_place_20d185fa,,2026-08-18T10:00:00+05:30
kbc_ecae6fcf,cty_b43cdd57,,etiquette,Agra — Etiquette,"A few things save awkwardness in Agra. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Agra / etiquette,emb_place_ecae6fcf,,2026-08-18T10:00:00+05:30
kbc_5fc67bdd,cty_b43cdd57,,food,Agra — Food,"The local kitchen in Agra is built around millet and chilli, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,98,KV Place Guide / Agra / food,emb_place_5fc67bdd,,2026-08-18T10:00:00+05:30
kbc_ce9c9d47,cty_b43cdd57,,transport,Agra — Transport,"Getting around Agra is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Agra / transport,emb_place_ce9c9d47,,2026-08-18T10:00:00+05:30
kbc_2388a9c1,cty_b43cdd57,,safety,Agra — Safety,"Agra is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Agra / safety,emb_place_2388a9c1,,2026-08-18T10:00:00+05:30
kbc_1bd4f34a,cty_b43cdd57,,seasonal,Agra — Seasonal,"Season matters more in Agra than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Agra / seasonal,emb_place_1bd4f34a,winter,2026-08-18T10:00:00+05:30
kbc_2358fca1,cty_b43cdd57,,practical,Agra — Practical,"Practical notes for Agra: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Agra / practical,emb_place_2358fca1,,2026-08-18T10:00:00+05:30
kbc_0c4bbf44,cty_c97e6cd5,,history,Varanasi — History,"Varanasi grew up around a royal hunting reserve, and the shape of the old town still follows it. The Mughal period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,102,KV Place Guide / Varanasi / history,emb_place_0c4bbf44,,2026-08-18T10:00:00+05:30
kbc_2970e9ba,cty_c97e6cd5,,culture,Varanasi — Culture,"Daily rhythm in Varanasi is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a natural harbour fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,83,KV Place Guide / Varanasi / culture,emb_place_2970e9ba,,2026-08-18T10:00:00+05:30
kbc_3c463c9f,cty_c97e6cd5,,etiquette,Varanasi — Etiquette,"A few things save awkwardness in Varanasi. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Varanasi / etiquette,emb_place_3c463c9f,,2026-08-18T10:00:00+05:30
kbc_cb289552,cty_c97e6cd5,,food,Varanasi — Food,"The local kitchen in Varanasi is built around fermented batters, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,97,KV Place Guide / Varanasi / food,emb_place_cb289552,,2026-08-18T10:00:00+05:30
kbc_7b1dd4d5,cty_c97e6cd5,,transport,Varanasi — Transport,"Getting around Varanasi is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Varanasi / transport,emb_place_7b1dd4d5,,2026-08-18T10:00:00+05:30
kbc_f12dfd8c,cty_c97e6cd5,,safety,Varanasi — Safety,"Varanasi is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Varanasi / safety,emb_place_f12dfd8c,,2026-08-18T10:00:00+05:30
kbc_7b49ff29,cty_c97e6cd5,,seasonal,Varanasi — Seasonal,"Season matters more in Varanasi than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Varanasi / seasonal,emb_place_7b49ff29,winter,2026-08-18T10:00:00+05:30
kbc_c2e713d9,cty_c97e6cd5,,practical,Varanasi — Practical,"Practical notes for Varanasi: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Varanasi / practical,emb_place_c2e713d9,,2026-08-18T10:00:00+05:30
kbc_d317edd5,cty_5698a7ab,,history,Lucknow — History,"Lucknow grew up around a temple tank, and the shape of the old town still follows it. The early modern period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,102,KV Place Guide / Lucknow / history,emb_place_d317edd5,,2026-08-18T10:00:00+05:30
kbc_a1497bee,cty_5698a7ab,,culture,Lucknow — Culture,"Daily rhythm in Lucknow is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a fortified hill fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,83,KV Place Guide / Lucknow / culture,emb_place_a1497bee,,2026-08-18T10:00:00+05:30
kbc_14f6c58f,cty_5698a7ab,,etiquette,Lucknow — Etiquette,"A few things save awkwardness in Lucknow. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Lucknow / etiquette,emb_place_14f6c58f,,2026-08-18T10:00:00+05:30
kbc_708bf18c,cty_5698a7ab,,food,Lucknow — Food,"The local kitchen in Lucknow is built around fish and tamarind, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,98,KV Place Guide / Lucknow / food,emb_place_708bf18c,,2026-08-18T10:00:00+05:30
kbc_839829f9,cty_5698a7ab,,transport,Lucknow — Transport,"Getting around Lucknow is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Lucknow / transport,emb_place_839829f9,,2026-08-18T10:00:00+05:30
kbc_3f69cbdb,cty_5698a7ab,,safety,Lucknow — Safety,"Lucknow is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Lucknow / safety,emb_place_3f69cbdb,,2026-08-18T10:00:00+05:30
kbc_e5522789,cty_5698a7ab,,seasonal,Lucknow — Seasonal,"Season matters more in Lucknow than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Lucknow / seasonal,emb_place_e5522789,winter,2026-08-18T10:00:00+05:30
kbc_5d6d9c4e,cty_5698a7ab,,practical,Lucknow — Practical,"Practical notes for Lucknow: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Lucknow / practical,emb_place_5d6d9c4e,,2026-08-18T10:00:00+05:30
kbc_3813ca9f,cty_0b92e2e7,,history,New Delhi — History,"New Delhi grew up around a rail junction, and the shape of the old town still follows it. The colonial period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,102,KV Place Guide / New Delhi / history,emb_place_3813ca9f,,2026-08-18T10:00:00+05:30
kbc_dffa2acf,cty_0b92e2e7,,culture,New Delhi — Culture,"Daily rhythm in New Delhi is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a river crossing fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,84,KV Place Guide / New Delhi / culture,emb_place_dffa2acf,,2026-08-18T10:00:00+05:30
kbc_7c0f50ed,cty_0b92e2e7,,etiquette,New Delhi — Etiquette,"A few things save awkwardness in New Delhi. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,88,KV Place Guide / New Delhi / etiquette,emb_place_7c0f50ed,,2026-08-18T10:00:00+05:30
kbc_70b841ff,cty_0b92e2e7,,food,New Delhi — Food,"The local kitchen in New Delhi is built around wheat and dairy, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,100,KV Place Guide / New Delhi / food,emb_place_70b841ff,,2026-08-18T10:00:00+05:30
kbc_046d07f5,cty_0b92e2e7,,transport,New Delhi — Transport,"Getting around New Delhi is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,85,KV Place Guide / New Delhi / transport,emb_place_046d07f5,,2026-08-18T10:00:00+05:30
kbc_8afd97b8,cty_0b92e2e7,,safety,New Delhi — Safety,"New Delhi is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,76,KV Place Guide / New Delhi / safety,emb_place_8afd97b8,,2026-08-18T10:00:00+05:30
kbc_13923dd3,cty_0b92e2e7,,seasonal,New Delhi — Seasonal,"Season matters more in New Delhi than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,80,KV Place Guide / New Delhi / seasonal,emb_place_13923dd3,winter,2026-08-18T10:00:00+05:30
kbc_b341e50b,cty_0b92e2e7,,practical,New Delhi — Practical,"Practical notes for New Delhi: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,81,KV Place Guide / New Delhi / practical,emb_place_b341e50b,,2026-08-18T10:00:00+05:30
